Year,Film,Nominee,Win,SRT uploaded,
1940,The Great McGinty,Preston Sturges‡,1,".rar only, need convert",
1940,Angels Over Broadway,Ben Hecht,0,✓,
1940,Dr. Ehrlich's Magic Bullet,"Norman Burnside, Heinz Herald & John Huston",0,✓,
1940,Foreign Correspondent,Charles Bennett & Joan Harrison,0,✓,
1940,The Great Dictator,Charlie Chaplin,0,✓,
1941,Citizen Kane,Herman J. Mankiewicz & Orson Welles‡,1,✓,
1941,The Devil and Miss Jones,Norman Krasna,0,✓,
1941,Sergeant York,"Harry Chandlee, Abem Finkel, John Huston & Howard Koch",0,✓,
1941,"Tall, Dark and Handsome",Karl Tunberg & Darrell Ware,0,,
1941,"Tom, Dick and Harry",Paul Jarrico,0,✓,
1942,Woman of the Year,Ring Lardner Jr. & Michael Kanin‡,1,✓,
1942,One of Our Aircraft Is Missing,Michael Powell & Emeric Pressburger,0,✓,
1942,Road to Morocco,Frank Butler & Don Hartman,0,✓,
1942,Wake Island,W. R. Burnett & Frank Butler,0,✓,
1942,The War Against Mrs. Hadley,George Oppenheimer,0,,
1943,Princess O'Rourke,Norman Krasna‡,1,✓,
1943,Air Force,Dudley Nichols,0,✓,
1943,In Which We Serve,Noël Coward,0,✓,
1943,The North Star,Lillian Hellman,0,✓,
1943,So Proudly We Hail!,Allan Scott,0,✓,
1944,Wilson,Lamar Trotti‡,1,✓,
1944,Hail the Conquering Hero,Preston Sturges,0,✓,
1944,The Miracle of Morgan's Creek,Preston Sturges,0,✓,
1944,Two Girls and a Sailor,Richard Connell & Gladys Lehman,0,,
1944,Wing and a Prayer,Jerome Cady,0,,
1945,Marie-Louise,Richard Schweizer‡,1,✓,
1945,Dillinger,Philip Yordan,0,,
1945,Music for Millions,Myles Connolly,0,,
1945,Salty O'Rourke,Milton Holmes,0,,
1945,"What Next, Corporal Hargrove?",Harry Kurnitz,0,✓,
1946,The Seventh Veil,Muriel & Sydney Box‡,1,No english?,
1946,The Blue Dahlia,Raymond Chandler,0,✓,
1946,Children of Paradise,Jacques Prévert,0,✓,
1946,Notorious,Ben Hecht,0,✓,
1946,Road to Utopia,Melvin Frank & Norman Panama,0,✓,
1947,The Bachelor and the Bobby-Soxer,Sidney Sheldon‡,1,✓,
1947,Body and Soul,Abraham Polonsky,0,✓,
1947,A Double Life,Ruth Gordon & Garson Kanin,0,✓,
1947,Monsieur Verdoux,Charlie Chaplin,0,✓,
1947,Shoeshine,"Sergio Amidei, Adolfo Franci, Cesare Giulio Viola & Cesare Zavattini",0,No english?,
1948,,,1,,
1949,Battleground,Robert Pirosh‡,1,✓,
1949,Jolson Sings Again,Sidney Buchman,0,n/a,
1949,Paisan,"Sergio Amidei, Federico Fellini, Alfred Hayes, Marcello Pagliero & Roberto Rossellini",0,✓,
1949,Passport to Pimlico,T. E. B. Clarke,0,✓,
1949,The Quiet One,"Helen Levitt, Janice Loeb & Sidney Meyers",0,n/a,
1950,Sunset Boulevard,"Charles Brackett, D. M. Marshman Jr. & Billy Wilder‡",1,✓,
1950,Adam's Rib,Ruth Gordon & Garson Kanin,0,✓,
1950,Caged,Virginia Kellogg & Bernard C. Schoenfeld,0,✓,
1950,The Men,Carl Foreman,0,✓,
1950,No Way Out,Joseph L. Mankiewicz & Lesser Samuels,0,✓,
1951,An American in Paris,Alan Jay Lerner‡,1,✓,
1951,Ace in the Hole,"Walter Newman, Lesser Samuels & Billy Wilder",0,✓,
1951,David and Bathsheba,Philip Dunne,0,✓,
1951,Go for Broke!,Robert Pirosh,0,✓,
1951,The Well,Clarence Greene & Russell Rouse,0,No english?,
1952,The Lavender Hill Mob,T. E. B. Clarke‡,1,✓,
1952,The Atomic City,Sydney Boehm,0,,
1952,Breaking the Sound Barrier,Terence Rattigan,0,✓,
1952,Pat and Mike,Ruth Gordon & Garson Kanin,0,✓,
1952,Viva Zapata!,John Steinbeck,0,✓,
1953,Titanic,"Charles Brackett, Richard L. Breen & Walter Reisch‡",1,✓,
1953,The Band Wagon,Betty Comden & Adolph Green,0,✓,
1953,The Desert Rats,Richard Murphy,0,✓,
1953,The Naked Spur,Harold Jack Bloom & Sam Rolfe,0,✓,
1953,Take the High Ground!,Millard Kaufman,0,,
1954,On the Waterfront,Budd Schulberg‡,1,✓,
1954,The Barefoot Contessa,Joseph L. Mankiewicz,0,,
1954,Genevieve,William Rose,0,✓,
1954,The Glenn Miller Story,Oscar Brodney & Valentine Davies,0,✓,
1954,Knock on Wood,Melvin Frank & Norman Panama,0,✓,
1955,Interrupted Melody,Sonya Levien & William Ludwig‡,1,,
1955,The Court-Martial of Billy Mitchell,Emmet Lavery & Milton Sperling,0,✓,
1955,It's Always Fair Weather,Betty Comden & Adolph Green,0,✓,
